Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_gpio_adapter_0_probe_test_o[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
592,592,0,a5
593,593,0,a5
594,594,0,a5
595,595,0,a5
596,596,0,a5
597,597,0,a5
598,598,0,a5
599,599,0,a5
600,600,0,a5
601,601,0,a5
602,602,0,a5
603,603,0,a5
604,604,0,a5
605,605,0,a5
606,606,0,a5
607,607,0,a5
608,608,0,a5
609,609,0,a5
610,610,0,a5
611,611,0,a5
612,612,0,a5
613,613,0,a5
614,614,0,a5
615,615,0,a5
616,616,0,a5
617,617,0,a5
618,618,0,a5
619,619,0,a5
620,620,0,a5
621,621,0,a5
622,622,0,a5
623,623,0,a5
624,624,0,a5
625,625,0,a5
626,626,0,a5
627,627,0,a5
628,628,0,a5
629,629,0,a5
630,630,0,a5
631,631,0,a5
632,632,0,a5
633,633,0,a5
634,634,0,a5
635,635,0,a5
636,636,0,a5
637,637,0,a5
638,638,0,a5
639,639,0,a5
640,640,0,a5
641,641,0,a5
642,642,0,a5
643,643,0,a5
644,644,0,a5
645,645,0,a5
646,646,0,a5
647,647,0,a5
648,648,0,a5
649,649,0,a5
650,650,0,a5
651,651,0,a5
652,652,0,a5
653,653,0,a5
654,654,0,a5
655,655,0,a5
656,656,0,a5
657,657,0,a5
658,658,0,a5
659,659,0,a5
660,660,0,a5
661,661,0,a5
662,662,0,a5
663,663,0,a5
664,664,0,a5
665,665,0,a5
666,666,0,a5
667,667,0,a5
668,668,0,a5
669,669,0,a5
670,670,0,a5
671,671,0,a5
672,672,0,a5
673,673,0,a5
674,674,0,a5
675,675,0,a5
676,676,0,a5
677,677,0,a5
678,678,0,a5
679,679,0,a5
680,680,0,a5
681,681,0,a5
682,682,0,a5
683,683,0,a5
684,684,0,a5
685,685,0,a5
686,686,0,a5
687,687,0,a5
688,688,0,a5
689,689,0,a5
690,690,0,a5
691,691,0,a5
692,692,0,a5
693,693,0,a5
694,694,0,a5
695,695,0,a5
696,696,0,a5
697,697,0,a5
698,698,0,a5
699,699,0,a5
700,700,0,a5
701,701,0,a5
702,702,0,a5
703,703,0,a5
704,704,0,a5
705,705,0,a5
706,706,0,a5
707,707,0,a5
708,708,0,a5
709,709,0,a5
710,710,0,a5
711,711,0,a5
712,712,0,a5
713,713,0,a5
714,714,0,a5
715,715,0,a5
716,716,0,a5
717,717,0,a5
718,718,0,a5
719,719,0,a5
720,720,0,a5
721,721,0,a5
722,722,0,a5
723,723,0,a5
724,724,0,a5
725,725,0,a5
726,726,0,a5
727,727,0,a5
728,728,0,a5
729,729,0,a5
730,730,0,a5
731,731,0,a5
732,732,0,a5
733,733,0,a5
734,734,0,a5
735,735,0,a5
736,736,0,a5
737,737,0,a5
738,738,0,a5
739,739,0,a5
740,740,0,a5
741,741,0,a5
742,742,0,a5
743,743,0,a5
744,744,0,a5
745,745,0,a5
746,746,0,a5
747,747,0,a5
748,748,0,a5
749,749,0,a5
750,750,0,a5
751,751,0,a5
752,752,0,a5
753,753,0,a5
754,754,0,a5
755,755,0,a5
756,756,0,a5
757,757,0,a5
758,758,0,a5
759,759,0,a5
760,760,0,a5
761,761,0,a5
762,762,0,a5
763,763,0,a5
764,764,0,a5
765,765,0,a5
766,766,0,a5
767,767,0,a5
768,768,0,a5
769,769,0,a5
770,770,0,a5
771,771,0,a5
772,772,0,a5
773,773,0,a5
774,774,0,a5
775,775,0,a5
776,776,0,a5
777,777,0,a5
778,778,0,a5
779,779,0,a5
780,780,0,a5
781,781,0,a5
782,782,0,a5
783,783,0,a5
784,784,0,a5
785,785,0,a5
786,786,0,a5
787,787,0,a5
788,788,0,a5
789,789,0,a5
790,790,0,a5
791,791,0,a5
792,792,0,a5
793,793,0,a5
794,794,0,a5
795,795,0,a5
796,796,0,a5
797,797,0,a5
798,798,0,a5
799,799,0,a5
800,800,0,a5
801,801,0,a5
802,802,0,a5
803,803,0,a5
804,804,0,a5
805,805,0,a5
806,806,0,a5
807,807,0,a5
808,808,0,a5
809,809,0,a5
810,810,0,a5
811,811,0,a5
812,812,0,a5
813,813,0,a5
814,814,0,a5
815,815,0,a5
816,816,0,a5
817,817,0,a5
818,818,0,a5
819,819,0,a5
820,820,0,a5
821,821,0,a5
822,822,0,a5
823,823,0,a5
824,824,0,a5
825,825,0,a5
826,826,0,a5
827,827,0,a5
828,828,0,a5
829,829,0,a5
830,830,0,a5
831,831,0,a5
832,832,0,a5
833,833,0,a5
834,834,0,a5
835,835,0,a5
836,836,0,a5
837,837,0,a5
838,838,0,a5
839,839,0,a5
840,840,0,a5
841,841,0,a5
842,842,0,a5
843,843,0,a5
844,844,0,a5
845,845,0,a5
846,846,0,a5
847,847,0,a5
848,848,0,a5
849,849,0,a5
850,850,0,a5
851,851,0,a5
852,852,0,a5
853,853,0,a5
854,854,0,a5
855,855,0,a5
856,856,0,a5
857,857,0,a5
858,858,0,a5
859,859,0,a5
860,860,0,a5
861,861,0,a5
862,862,0,a5
863,863,0,a5
864,864,0,a5
865,865,0,a5
866,866,0,a5
867,867,0,a5
868,868,0,a5
869,869,0,a5
870,870,0,a5
871,871,0,a5
872,872,0,a5
873,873,0,a5
874,874,0,a5
875,875,0,a5
876,876,0,a5
877,877,0,a5
878,878,0,a5
879,879,0,a5
880,880,0,a5
881,881,0,a5
882,882,0,a5
883,883,0,a5
884,884,0,a5
885,885,0,a5
886,886,0,a5
887,887,0,a5
888,888,0,a5
889,889,0,a5
890,890,0,a5
